"estadual_id","estadual_nome","estado","nivel","ano_referencia","time_id"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"vitoria_tabocas"
"pernambucano_a2","Campeonato Pernambucano - Série A2","PE",2,2025,"ypiranga_pe"
"piauiense_1","Campeonato Piauiense","PI",1,2026,"oeirense"
"piauiense_1","Campeonato Piauiense","PI",1,2026,"fluminense_pi"
"piauiense_1","Campeonato Piauiense","PI",1,2026,"piaui_ec"
"piauiense_1","Campeonato Piauiense","PI",1,2026,"altos"
"piauiense_1","Campeonato Piauiense","PI",1,2026,"corisabba"
"piauiense_1","Campeonato Piauiense","PI",1,2026,"teresina_ec"
"piauiense_1","Campeonato Piauiense","PI",1,2026,"parnahyba"
"piauiense_1","Campeonato Piauiense","PI",1,2026,"cap_pi"
"potiguar_1","Campeonato Potiguar","RN",1,2026,"abc_rn"
"potiguar_1","Campeonato Potiguar","RN",1,2026,"america_rn"
"potiguar_1","Campeonato Potiguar","RN",1,2026,"globo_fc"
"potiguar_1","Campeonato Potiguar","RN",1,2026,"laguna"
"potiguar_1","Campeonato Potiguar","RN",1,2026,"potiguar_mossoro"
"potiguar_1","Campeonato Potiguar","RN",1,2026,"potyguar_seridoense"
"potiguar_1","Campeonato Potiguar","RN",1,2026,"qfc"
"potiguar_1","Campeonato Potiguar","RN",1,2026,"santa_cruz_rn"
"rondoniense_1","Campeonato Rondoniense","RO",1,2026,"porto_velho_ec"
"rondoniense_1","Campeonato Rondoniense","RO",1,2026,"rondoniense_ro"
"rondoniense_1","Campeonato Rondoniense","RO",1,2026,"genus"
"rondoniense_1","Campeonato Rondoniense","RO",1,2026,"barcelona_ro"
"rondoniense_1","Campeonato Rondoniense","RO",1,2026,"ji_parana"
"rondoniense_1","Campeonato Rondoniense","RO",1,2026,"uniao_cacoalense"
"rondoniense_1","Campeonato Rondoniense","RO",1,2026,"guapore_fc"
"roraimense_1","Campeonato Roraimense","RR",1,2026,"monte_roraima"
"roraimense_1","Campeonato Roraimense","RR",1,2026,"bare"
